Designator,Footprint,Quantity,Value,LCSC Part #,link,
R10,0402,1,470,https://www.lcsc.com/product-detail/C114877.html?s_z=n_%2520470ohm%25200402&spm=wm.ssy.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUFJeRVVXUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
"R11, R13",0402,2,100,https://www.lcsc.com/product-detail/C106232.html?s_z=n_100ohm%25200402&spm=wm.ssy.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUFNXQ1FaVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
R12,0402,1,165,https://www.lcsc.com/product-detail/C2076669.html?s_z=n_165ohm%25200402&spm=wm.ssy.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUFNTRVJXUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
"R3, R4",0402,2,27,https://www.lcsc.com/product-detail/C138021.html?s_z=n_27ohm%25200402&spm=wm.ssy.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUFNRTlJYUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
"R5, R8",0402,2,10K,https://www.lcsc.com/product-detail/C60490.html?s_z=n_10kohm%25200402&spm=wm.ssy.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUFNfT1FbUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
"R6, R7",0402,2,4.7K,https://www.lcsc.com/product-detail/C105871.html?s_z=n_4.7kohm%25200402&spm=wm.ssy.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUFxVRldaXztW,
R9,0402,1,330,https://www.lcsc.com/product-detail/C105875.html?s_z=n_330ohm%25200402&spm=wm.ssy.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUFxTQlJZUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,https://www.lcsc.com/product-detail/C2913202.html?s_z=n_esp32&spm=wm.ssy.bg.6.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUF1XQVJeVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
U3,SOT-23-5,1,AP2112K-1.2,https://www.lcsc.com/product-detail/C460310.html?s_z=n_AP2112K-1.2&spm=wm.ssy.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdX1RWQFdWXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
U4,SOT-23-6,1,USBLC6-2SC6,https://www.lcsc.com/product-detail/C7519.html?s_z=n_USBLC6-2SC6&spm=wm.ssy.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdX1RUT1RfVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
U5,TO-263-5_TabPin3,1,MIC29302WU,https://www.lcsc.com/product-detail/C2995533.html?s_z=n_MIC29302WU&spm=wm.ssy.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdX1RQQFJdXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
